city,country,month,month_num,temperature_2m_mean,windspeed_10m_mean,precipitation_sum,relative_humidity_2m_mean,cloudcover_mean
Downings,Ireland,July,7,57.46,15.47,1.36,82.71,77.82
Downings,Ireland,August,8,58.46,20.89,3.77,82.05,74.3
Downings,Ireland,September,9,55.08,17.11,1.35,82.33,65.92
Downings,Ireland,October,10,52.93,20.18,1.19,83.75,70.15
Downings,Ireland,November,11,48.09,18.07,2.63,86.08,77.37
Downings,Ireland,December,12,46.39,23.02,2.29,85.85,83.07
Fanore,Ireland,January,1,42.0,19.15,1.02,84.84,66.64
Fanore,Ireland,February,2,46.6,17.67,1.99,87.77,78.27
Fanore,Ireland,March,3,46.43,19.82,2.04,83.28,74.33
Fanore,Ireland,April,4,49.77,18.82,1.39,79.93,71.42
Fanore,Ireland,May,5,54.99,14.12,0.86,80.68,74.37
Fanore,Ireland,June,6,55.69,16.8,0.63,78.11,74.3
Fanore,Ireland,July,7,58.48,14.86,0.7,81.38,78.66
Fanore,Ireland,August,8,59.69,20.38,1.36,81.53,76.0
Fanore,Ireland,September,9,56.22,15.45,0.79,81.31,72.34
Fanore,Ireland,October,10,53.35,17.42,1.19,85.82,73.23
Fanore,Ireland,November,11,48.73,15.54,3.5,89.9,82.13
Fanore,Ireland,December,12,46.72,20.56,1.3,87.27,79.33
Spanish Point,Ireland,January,1,41.7,18.68,1.84,84.91,67.17
Spanish Point,Ireland,February,2,46.82,17.28,3.7,87.91,80.35
Spanish Point,Ireland,March,3,46.67,19.52,3.28,83.0,75.76
Spanish Point,Ireland,April,4,50.1,18.8,1.96,79.3,72.65
Spanish Point,Ireland,May,5,55.24,14.23,1.62,79.88,73.97
Spanish Point,Ireland,June,6,56.23,16.36,1.15,77.0,73.52
Spanish Point,Ireland,July,7,58.92,15.19,1.13,80.41,79.57
Spanish Point,Ireland,August,8,60.15,20.15,1.83,80.31,75.68
Spanish Point,Ireland,September,9,56.36,15.29,1.55,81.46,71.99
Spanish Point,Ireland,October,10,53.44,17.05,2.3,85.35,74.26
Spanish Point,Ireland,November,11,48.78,15.12,4.0,90.07,82.24
Spanish Point,Ireland,December,12,46.77,19.83,2.33,87.22,78.57
Kilrush,Ireland,January,1,40.44,15.19,0.55,86.75,70.19
Kilrush,Ireland,February,2,45.94,14.74,1.5,88.61,82.73
Kilrush,Ireland,March,3,45.93,17.25,1.43,84.62,79.05
Kilrush,Ireland,April,4,49.12,15.88,1.01,80.6,74.32
Kilrush,Ireland,May,5,55.03,11.64,1.28,81.38,78.94
Kilrush,Ireland,June,6,55.79,13.16,0.31,78.12,76.68
Kilrush,Ireland,July,7,58.52,12.33,0.41,81.79,81.88
Kilrush,Ireland,August,8,59.53,17.0,0.79,80.85,75.74
Kilrush,Ireland,September,9,55.09,13.11,0.54,83.88,74.11
Kilrush,Ireland,October,10,52.4,14.82,0.76,86.55,77.34
Kilrush,Ireland,November,11,47.48,13.38,2.39,91.52,84.1
Kilrush,Ireland,December,12,45.35,15.92,1.05,89.09,80.31
Baltimore,Ireland,January,1,44.4,24.68,0.16,82.35,65.69
Baltimore,Ireland,February,2,48.84,25.23,0.87,89.39,77.78
Baltimore,Ireland,March,3,47.73,25.29,0.77,85.58,74.95
Baltimore,Ireland,April,4,50.12,22.78,0.93,82.69,70.63
Baltimore,Ireland,May,5,55.0,16.1,0.88,83.39,73.25
Baltimore,Ireland,June,6,56.17,18.52,0.25,81.22,68.21
Baltimore,Ireland,July,7,58.42,17.57,0.21,84.96,69.21
Baltimore,Ireland,August,8,59.3,22.25,0.53,87.89,74.34
Baltimore,Ireland,September,9,57.44,19.41,0.01,82.35,70.8
Baltimore,Ireland,October,10,55.15,22.33,0.36,85.88,72.25
Baltimore,Ireland,November,11,51.28,19.01,3.12,88.24,80.46
Baltimore,Ireland,December,12,49.13,24.54,0.32,85.72,80.46
Union Hall,Ireland,January,1,43.5,22.29,0.15,83.19,64.4
Union Hall,Ireland,February,2,48.23,22.62,0.78,89.51,78.22
Union Hall,Ireland,March,3,47.12,23.5,0.92,86.17,75.55
Union Hall,Ireland,April,4,49.69,21.26,0.92,82.54,70.38
Union Hall,Ireland,May,5,54.71,15.03,0.89,83.3,73.09
Union Hall,Ireland,June,6,56.13,16.98,0.24,79.83,67.77
Union Hall,Ireland,July,7,58.24,16.38,0.22,84.22,70.51
Union Hall,Ireland,August,8,59.17,20.52,0.52,87.01,73.33
Union Hall,Ireland,September,9,56.94,17.96,0.03,82.64,70.91
Union Hall,Ireland,October,10,54.47,20.47,0.34,86.5,72.19
Union Hall,Ireland,November,11,50.57,17.84,3.02,88.93,79.32
Union Hall,Ireland,December,12,48.24,22.13,0.47,86.71,79.41
Courtmacsherry,Ireland,January,1,41.73,20.03,0.13,84.98,62.93
Courtmacsherry,Ireland,February,2,46.96,19.8,0.33,90.0,79.63
Courtmacsherry,Ireland,March,3,45.8,22.07,0.95,87.76,76.94
Courtmacsherry,Ireland,April,4,48.72,20.65,0.8,82.59,70.63
Courtmacsherry,Ireland,May,5,54.06,15.52,0.96,83.54,73.64
Courtmacsherry,Ireland,June,6,55.99,16.43,0.18,77.25,68.51
Courtmacsherry,Ireland,July,7,57.74,16.49,0.2,83.18,73.25
Courtmacsherry,Ireland,August,8,58.82,19.3,0.52,85.7,72.0
Courtmacsherry,Ireland,September,9,55.94,17.9,0.03,83.24,71.34
Courtmacsherry,Ireland,October,10,53.05,18.42,0.3,87.93,72.84
Courtmacsherry,Ireland,November,11,49.08,17.02,2.42,90.45,77.37
Courtmacsherry,Ireland,December,12,46.41,19.67,0.31,88.83,77.64
Dunmore East,Ireland,January,1,41.85,17.59,0.28,84.82,63.45
Dunmore East,Ireland,February,2,46.46,16.15,1.47,89.86,73.83
Dunmore East,Ireland,March,3,46.66,19.32,1.01,87.1,74.46
Dunmore East,Ireland,April,4,49.41,18.58,0.92,84.19,70.33
Dunmore East,Ireland,May,5,55.14,13.6,0.96,85.53,70.27
Dunmore East,Ireland,June,6,56.21,14.28,0.03,80.56,68.84
Dunmore East,Ireland,July,7,58.44,14.01,0.29,84.84,69.73
Dunmore East,Ireland,August,8,59.96,18.72,0.72,84.95,64.42
Dunmore East,Ireland,September,9,55.76,14.75,0.13,84.61,64.93
Dunmore East,Ireland,October,10,53.75,16.26,0.4,86.93,70.37
Dunmore East,Ireland,November,11,49.84,14.65,3.09,88.91,77.9
Dunmore East,Ireland,December,12,46.96,17.96,0.21,87.71,73.16
Annestown,Ireland,January,1,42.12,18.11,0.28,84.56,61.74
Annestown,Ireland,February,2,46.71,17.21,1.47,89.87,73.81
Annestown,Ireland,March,3,46.8,20.19,0.95,87.02,74.62
Annestown,Ireland,April,4,49.55,19.07,0.94,84.08,69.91
Annestown,Ireland,May,5,55.15,14.02,0.94,85.57,69.39
Annestown,Ireland,June,6,56.31,14.57,0.03,80.47,67.0
Annestown,Ireland,July,7,58.52,14.45,0.3,84.79,68.39
Annestown,Ireland,August,8,60.03,19.1,0.72,85.36,65.43
Annestown,Ireland,September,9,56.15,15.59,0.13,84.26,65.68
Annestown,Ireland,October,10,54.03,17.07,0.4,86.75,70.23
Annestown,Ireland,November,11,50.15,15.07,2.99,88.66,76.95
Annestown,Ireland,December,12,47.2,18.89,0.2,87.64,74.28
Ardmore,Ireland,January,1,41.8,20.06,0.12,85.22,62.69
Ardmore,Ireland,February,2,46.99,20.07,0.21,89.99,78.13
Ardmore,Ireland,March,3,45.94,22.16,1.15,87.96,75.83
Ardmore,Ireland,April,4,48.86,21.28,0.76,82.98,69.06
Ardmore,Ireland,May,5,54.28,15.53,1.01,84.11,72.15
Ardmore,Ireland,June,6,56.05,16.56,0.16,77.94,67.82
Ardmore,Ireland,July,7,57.89,16.5,0.21,83.8,71.63
Ardmore,Ireland,August,8,59.01,20.01,0.49,86.05,70.34
Ardmore,Ireland,September,9,56.14,18.02,0.02,83.49,70.4
Ardmore,Ireland,October,10,53.27,19.0,0.29,87.83,72.35
Ardmore,Ireland,November,11,49.14,17.17,2.23,90.66,77.26
Ardmore,Ireland,December,12,46.52,20.29,0.26,88.81,76.73
Brittas Bay,Ireland,January,1,40.98,17.1,0.86,83.93,67.45
Brittas Bay,Ireland,February,2,45.66,16.32,1.28,86.58,78.66
Brittas Bay,Ireland,March,3,45.98,17.78,2.08,83.41,77.89
Brittas Bay,Ireland,April,4,48.31,17.09,1.24,80.46,73.21
Brittas Bay,Ireland,May,5,55.52,12.27,0.88,80.22,78.68
Brittas Bay,Ireland,June,6,55.89,13.95,0.37,76.28,75.42
Brittas Bay,Ireland,July,7,58.64,13.36,0.64,80.31,78.45
Brittas Bay,Ireland,August,8,60.02,17.65,0.88,77.67,70.46
Brittas Bay,Ireland,September,9,54.8,14.12,0.81,83.7,72.87
Brittas Bay,Ireland,October,10,52.58,15.21,1.03,83.54,72.07
Brittas Bay,Ireland,November,11,47.52,13.37,2.09,88.24,77.12
Brittas Bay,Ireland,December,12,45.45,17.8,0.87,86.67,77.25
Courtown,Ireland,January,1,41.7,15.93,0.23,83.06,67.73
Courtown,Ireland,February,2,46.43,15.2,1.11,87.38,78.96
Courtown,Ireland,March,3,46.72,17.13,0.96,84.22,77.57
Courtown,Ireland,April,4,49.44,16.4,0.82,81.83,73.96
Courtown,Ireland,May,5,55.43,11.57,0.8,83.27,77.12
Courtown,Ireland,June,6,56.29,12.7,0.02,78.45,75.29
Courtown,Ireland,July,7,58.74,12.62,0.27,82.24,77.18
Courtown,Ireland,August,8,60.4,16.83,0.69,80.52,70.11
Courtown,Ireland,September,9,55.35,12.82,0.12,83.7,72.75
Courtown,Ireland,October,10,53.75,14.25,0.5,84.22,73.54
Courtown,Ireland,November,11,49.42,12.6,2.59,87.02,79.54
Courtown,Ireland,December,12,46.71,16.97,0.32,86.46,78.61
Balbriggan,Ireland,January,1,40.97,17.83,1.87,83.31,66.62
Balbriggan,Ireland,February,2,45.27,16.73,2.2,85.99,76.98
Balbriggan,Ireland,March,3,45.58,18.58,3.6,83.3,76.81
Balbriggan,Ireland,April,4,47.83,17.95,2.22,80.52,71.37
Balbriggan,Ireland,May,5,55.43,13.63,1.16,80.33,77.96
Balbriggan,Ireland,June,6,55.74,15.2,0.93,75.77,74.32
Balbriggan,Ireland,July,7,58.61,14.24,1.25,79.36,77.7
Balbriggan,Ireland,August,8,59.96,17.44,1.25,76.25,69.67
Balbriggan,Ireland,September,9,54.43,15.61,1.76,83.85,71.04
Balbriggan,Ireland,October,10,52.4,16.0,1.66,83.06,70.32
Balbriggan,Ireland,November,11,46.89,14.42,1.66,88.45,74.84
Balbriggan,Ireland,December,12,45.21,18.48,1.5,86.11,74.73
Laytown,Ireland,January,1,40.89,17.57,1.91,83.57,66.62
Laytown,Ireland,February,2,45.2,16.54,2.21,86.13,76.89
Laytown,Ireland,March,3,45.58,18.38,3.69,83.28,76.99
Laytown,Ireland,April,4,47.82,17.64,2.29,80.57,71.59
Laytown,Ireland,May,5,55.42,13.29,1.18,80.4,77.9
Laytown,Ireland,June,6,55.66,14.83,1.0,75.96,74.75
Laytown,Ireland,July,7,58.54,13.89,1.36,79.61,77.89
Laytown,Ireland,August,8,59.86,17.3,1.58,76.67,69.95
Laytown,Ireland,September,9,54.42,15.14,1.74,83.88,71.21
Laytown,Ireland,October,10,52.33,15.8,1.79,83.31,70.57
Laytown,Ireland,November,11,46.94,14.17,1.6,88.24,74.99
Laytown,Ireland,December,12,45.15,18.22,1.57,86.31,75.26
Bettystown,Ireland,January,1,40.86,17.47,1.9,83.65,66.62
Bettystown,Ireland,February,2,45.18,16.47,2.18,86.18,76.83
Bettystown,Ireland,March,3,45.56,18.32,3.66,83.29,77.04
Bettystown,Ireland,April,4,47.8,17.54,2.3,80.61,71.64
Bettystown,Ireland,May,5,55.41,13.2,1.17,80.46,77.87
Bettystown,Ireland,June,6,55.62,14.72,1.0,76.02,74.86
Bettystown,Ireland,July,7,58.51,13.79,1.37,79.66,77.96
Bettystown,Ireland,August,8,59.83,17.25,1.61,76.8,70.03
Bettystown,Ireland,September,9,54.41,15.02,1.73,83.9,71.22
Bettystown,Ireland,October,10,52.3,15.73,1.79,83.4,70.66
Bettystown,Ireland,November,11,46.97,14.1,1.61,88.18,75.02
Bettystown,Ireland,December,12,45.13,18.13,1.57,86.37,75.39
Carlingford,Ireland,January,1,44.13,15.78,2.7,78.18,67.21
Carlingford,Ireland,February,2,46.92,14.26,3.07,82.46,73.09
Carlingford,Ireland,March,3,46.73,17.65,4.74,81.94,78.2
Carlingford,Ireland,April,4,49.45,15.81,3.53,77.65,72.1
Carlingford,Ireland,May,5,55.74,12.15,1.29,82.65,73.49
Carlingford,Ireland,June,6,56.4,12.95,1.79,75.97,75.63
Carlingford,Ireland,July,7,59.25,11.55,2.68,80.27,75.35
Carlingford,Ireland,August,8,60.22,14.44,3.76,79.07,69.16
Carlingford,Ireland,September,9,53.92,12.89,2.46,84.25,67.36
Carlingford,Ireland,October,10,54.18,14.98,3.13,81.08,70.53
Carlingford,Ireland,November,11,49.47,12.8,2.44,81.96,74.22
Carlingford,Ireland,December,12,47.35,16.23,2.56,81.59,77.4
Greenore,Ireland,January,1,44.4,15.79,2.65,77.68,67.32
Greenore,Ireland,February,2,47.13,14.22,3.01,82.14,73.3
Greenore,Ireland,March,3,46.88,17.66,4.67,81.76,78.02
Greenore,Ireland,April,4,49.63,15.84,3.44,77.37,71.92
Greenore,Ireland,May,5,55.82,12.15,1.27,82.62,73.33
Greenore,Ireland,June,6,56.54,12.94,1.73,75.9,75.2
Greenore,Ireland,July,7,59.38,11.56,2.62,80.17,74.99
Greenore,Ireland,August,8,60.37,14.48,3.64,78.9,68.77
Greenore,Ireland,September,9,53.98,12.96,2.41,84.13,67.2
Greenore,Ireland,October,10,54.41,14.9,3.03,80.65,70.19
Greenore,Ireland,November,11,49.68,12.75,2.38,81.49,74.25
Greenore,Ireland,December,12,47.56,16.18,2.47,81.13,77.08
Eyemouth,Scotland,January,1,39.1,17.84,3.12,86.17,70.66
Eyemouth,Scotland,February,2,42.7,18.07,1.98,85.74,72.17
Eyemouth,Scotland,March,3,43.22,16.94,2.53,86.92,79.05
Eyemouth,Scotland,April,4,45.76,18.41,3.62,80.94,73.51
Eyemouth,Scotland,May,5,54.12,12.51,3.32,87.84,78.09
Eyemouth,Scotland,June,6,54.74,14.46,1.14,77.13,68.15
Eyemouth,Scotland,July,7,57.33,12.74,3.3,82.25,76.53
Eyemouth,Scotland,August,8,58.7,17.61,2.36,78.97,67.05
Eyemouth,Scotland,September,9,53.25,12.92,1.76,83.92,72.69
Eyemouth,Scotland,October,10,50.25,16.44,3.88,86.07,64.54
Eyemouth,Scotland,November,11,43.52,13.51,1.3,86.13,63.4
Eyemouth,Scotland,December,12,44.24,18.75,3.05,85.37,78.09
St Abbs,Scotland,January,1,39.09,17.85,3.11,86.2,70.63
St Abbs,Scotland,February,2,42.68,18.08,1.98,85.74,72.13
St Abbs,Scotland,March,3,43.21,16.93,2.53,86.87,79.07
St Abbs,Scotland,April,4,45.8,18.42,3.6,80.89,73.59
St Abbs,Scotland,May,5,54.13,12.56,3.32,87.8,78.04
St Abbs,Scotland,June,6,54.78,14.48,1.14,77.04,68.22
St Abbs,Scotland,July,7,57.35,12.71,3.26,82.11,76.42
St Abbs,Scotland,August,8,58.7,17.65,2.34,78.92,67.15
St Abbs,Scotland,September,9,53.24,12.89,1.74,83.89,72.6
St Abbs,Scotland,October,10,50.25,16.4,3.84,86.0,64.6
St Abbs,Scotland,November,11,43.48,13.44,1.21,86.15,63.34
St Abbs,Scotland,December,12,44.21,18.73,3.02,85.35,78.01
Dunbar,Scotland,January,1,39.24,17.65,2.72,85.05,67.06
Dunbar,Scotland,February,2,42.7,18.12,1.86,84.74,68.12
Dunbar,Scotland,March,3,43.39,16.61,2.97,84.86,76.36
Dunbar,Scotland,April,4,46.45,17.72,3.55,78.38,71.34
Dunbar,Scotland,May,5,54.4,12.54,3.79,86.7,77.12
Dunbar,Scotland,June,6,55.4,14.62,1.21,74.83,65.92
Dunbar,Scotland,July,7,58.03,12.85,2.66,79.1,70.82
Dunbar,Scotland,August,8,58.95,18.71,2.28,77.38,63.55
Dunbar,Scotland,September,9,53.29,12.58,1.56,83.12,69.17
Dunbar,Scotland,October,10,50.54,15.71,3.24,84.85,63.54
Dunbar,Scotland,November,11,43.42,12.74,1.11,86.67,60.23
Dunbar,Scotland,December,12,44.11,18.49,2.65,86.02,73.32
North Berwick,Scotland,January,1,39.02,17.22,2.96,85.5,69.24
North Berwick,Scotland,February,2,42.48,17.83,2.0,85.12,70.13
North Berwick,Scotland,March,3,43.26,16.27,3.3,84.81,78.3
North Berwick,Scotland,April,4,46.36,17.56,3.79,78.34,74.2
North Berwick,Scotland,May,5,54.55,12.04,4.05,85.95,79.35
North Berwick,Scotland,June,6,55.31,15.64,1.46,74.64,70.95
North Berwick,Scotland,July,7,58.0,13.15,2.26,78.37,74.28
North Berwick,Scotland,August,8,58.78,18.99,2.71,76.93,66.93
North Berwick,Scotland,September,9,53.26,12.87,1.5,81.97,69.69
North Berwick,Scotland,October,10,50.45,15.68,2.84,83.69,66.88
North Berwick,Scotland,November,11,43.27,13.29,1.16,85.44,61.63
North Berwick,Scotland,December,12,43.77,19.0,2.75,84.41,73.95
Gullane,Scotland,January,1,39.05,17.06,3.01,85.47,69.26
Gullane,Scotland,February,2,42.54,17.57,2.04,85.14,70.4
Gullane,Scotland,March,3,43.28,15.95,3.34,84.64,78.09
Gullane,Scotland,April,4,46.42,17.34,3.85,78.16,73.88
Gullane,Scotland,May,5,54.68,11.87,4.33,85.61,79.75
Gullane,Scotland,June,6,55.28,14.26,1.46,74.78,68.94
Gullane,Scotland,July,7,58.04,12.44,2.21,78.73,71.67
Gullane,Scotland,August,8,58.81,18.0,2.76,77.67,65.6
Gullane,Scotland,September,9,53.16,12.17,1.61,83.5,70.19
Gullane,Scotland,October,10,50.5,14.58,2.78,84.88,66.56
Gullane,Scotland,November,11,43.37,12.47,1.13,87.17,62.96
Gullane,Scotland,December,12,44.0,17.85,2.74,86.58,75.1
Aberlady,Scotland,January,1,39.06,17.03,3.07,85.48,69.37
Aberlady,Scotland,February,2,42.55,17.33,2.07,85.2,70.7
Aberlady,Scotland,March,3,43.25,15.88,3.37,84.59,78.02
Aberlady,Scotland,April,4,46.42,17.32,3.9,78.22,74.01
Aberlady,Scotland,May,5,54.73,11.68,4.5,85.5,80.09
Aberlady,Scotland,June,6,54.97,14.3,1.55,75.37,73.76
Aberlady,Scotland,July,7,57.75,12.23,2.39,79.17,76.36
Aberlady,Scotland,August,8,58.48,17.53,3.41,78.17,69.55
Aberlady,Scotland,September,9,53.02,12.03,1.75,83.23,72.21
Aberlady,Scotland,October,10,50.28,14.35,2.96,84.48,70.11
Aberlady,Scotland,November,11,43.19,12.08,1.19,86.43,64.77
Aberlady,Scotland,December,12,43.75,17.82,3.05,85.29,77.91
Crail,Scotland,January,1,39.15,19.01,2.41,84.71,68.88
Crail,Scotland,February,2,42.37,20.47,1.67,84.35,67.45
Crail,Scotland,March,3,43.43,18.33,3.21,84.73,78.66
Crail,Scotland,April,4,46.42,19.51,3.53,78.06,75.97
Crail,Scotland,May,5,54.05,13.39,2.95,87.1,79.87
Crail,Scotland,June,6,55.65,17.75,1.31,73.84,70.13
Crail,Scotland,July,7,58.26,14.77,1.79,77.41,73.43
Crail,Scotland,August,8,59.03,21.06,2.31,75.75,65.4
Crail,Scotland,September,9,53.51,14.36,0.87,80.67,67.47
Crail,Scotland,October,10,50.64,17.51,2.58,82.85,66.08
Crail,Scotland,November,11,43.37,15.14,1.22,84.1,60.18
Crail,Scotland,December,12,43.78,20.88,2.49,83.47,70.79
Anstruther,Scotland,January,1,39.24,19.19,2.48,84.35,65.74
Anstruther,Scotland,February,2,42.47,21.07,1.72,84.06,65.71
Anstruther,Scotland,March,3,43.56,18.57,3.28,84.38,76.84
Anstruther,Scotland,April,4,46.61,19.81,3.52,77.51,73.36
Anstruther,Scotland,May,5,54.13,13.65,3.13,86.87,78.0
Anstruther,Scotland,June,6,55.66,17.61,1.34,73.82,70.03
Anstruther,Scotland,July,7,58.26,14.64,1.82,77.39,73.38
Anstruther,Scotland,August,8,59.02,20.91,2.36,75.76,65.41
Anstruther,Scotland,September,9,53.51,14.24,0.93,80.73,67.57
Anstruther,Scotland,October,10,50.63,17.37,2.61,82.86,66.0
Anstruther,Scotland,November,11,43.37,15.0,1.23,84.18,60.05
Anstruther,Scotland,December,12,43.78,20.74,2.54,83.5,70.85
Pittenweem,Scotland,January,1,39.24,19.14,2.5,84.37,65.78
Pittenweem,Scotland,February,2,42.48,21.02,1.73,84.07,65.74
Pittenweem,Scotland,March,3,43.56,18.53,3.29,84.36,76.85
Pittenweem,Scotland,April,4,46.61,19.75,3.54,77.49,73.35
Pittenweem,Scotland,May,5,54.14,13.62,3.17,86.83,78.02
Pittenweem,Scotland,June,6,55.65,17.55,1.34,73.81,70.02
Pittenweem,Scotland,July,7,58.26,14.59,1.82,77.4,73.36
Pittenweem,Scotland,August,8,59.02,20.85,2.37,75.77,65.42
Pittenweem,Scotland,September,9,53.5,14.2,0.94,80.74,67.61
Pittenweem,Scotland,October,10,50.63,17.31,2.61,82.87,65.99
Pittenweem,Scotland,November,11,43.37,14.95,1.23,84.2,60.05
Pittenweem,Scotland,December,12,43.78,20.69,2.54,83.51,70.9
Elie,Scotland,January,1,39.23,18.92,2.54,84.42,65.94
Elie,Scotland,February,2,42.49,20.74,1.75,84.11,65.92
Elie,Scotland,March,3,43.56,18.27,3.3,84.33,76.87
Elie,Scotland,April,4,46.61,19.49,3.57,77.47,73.27
Elie,Scotland,May,5,54.22,13.41,3.3,86.69,78.06
Elie,Scotland,June,6,55.72,16.8,1.34,73.61,67.62
Elie,Scotland,July,7,58.34,14.1,1.81,77.29,71.17
Elie,Scotland,August,8,59.08,20.22,2.4,75.89,64.0
Elie,Scotland,September,9,53.52,13.71,0.99,81.13,67.16
Elie,Scotland,October,10,50.67,16.68,2.6,83.14,64.86
Elie,Scotland,November,11,43.41,14.36,1.25,84.81,59.41
Elie,Scotland,December,12,43.89,19.97,2.56,84.17,69.97
Largo,Scotland,January,1,40.19,26.86,5.5,85.68,73.45
Largo,Scotland,February,2,41.15,23.77,4.34,86.55,71.65
Largo,Scotland,March,3,42.46,22.29,3.06,84.56,77.08
Largo,Scotland,April,4,44.38,23.33,3.9,79.66,72.68
Largo,Scotland,May,5,52.45,15.96,0.92,88.72,70.19
Largo,Scotland,June,6,51.96,20.1,3.07,83.46,69.68
Largo,Scotland,July,7,55.02,15.41,2.02,85.35,66.38
Largo,Scotland,August,8,55.98,20.23,3.42,84.22,47.87
Largo,Scotland,September,9,52.35,16.12,2.77,85.52,64.42
Largo,Scotland,October,10,50.07,21.02,2.6,83.49,51.48
Largo,Scotland,November,11,45.47,21.05,4.07,82.28,64.4
Largo,Scotland,December,12,43.85,23.99,7.1,84.14,71.83
Leven,Scotland,January,1,39.21,18.53,2.68,84.5,66.19
Leven,Scotland,February,2,42.5,20.29,1.82,84.17,66.15
Leven,Scotland,March,3,43.55,17.88,3.4,84.25,77.09
Leven,Scotland,April,4,46.62,19.09,3.67,77.41,73.37
Leven,Scotland,May,5,54.3,13.13,3.59,86.45,78.3
Leven,Scotland,June,6,55.59,16.9,1.42,73.83,70.47
Leven,Scotland,July,7,58.25,13.99,1.84,77.37,73.23
Leven,Scotland,August,8,58.97,20.11,2.65,76.03,66.12
Leven,Scotland,September,9,53.46,13.65,1.14,81.04,68.16
Leven,Scotland,October,10,50.61,16.51,2.58,82.99,66.55
Leven,Scotland,November,11,43.32,14.2,1.21,84.68,60.35
Leven,Scotland,December,12,43.76,19.94,2.63,83.82,71.62
Methil,Scotland,January,1,39.2,18.32,2.74,84.55,66.37
Methil,Scotland,February,2,42.5,20.0,1.85,84.21,66.36
Methil,Scotland,March,3,43.54,17.67,3.42,84.23,77.14
Methil,Scotland,April,4,46.64,18.86,3.72,77.41,73.38
Methil,Scotland,May,5,54.32,12.94,3.72,86.34,78.42
Methil,Scotland,June,6,55.58,16.64,1.43,73.89,70.75
Methil,Scotland,July,7,58.24,13.8,1.86,77.43,73.42
Methil,Scotland,August,8,58.95,19.84,2.69,76.14,66.34
Methil,Scotland,September,9,53.42,13.44,1.21,81.19,68.45
Methil,Scotland,October,10,50.57,16.28,2.57,83.06,66.83
Methil,Scotland,November,11,43.32,13.98,1.19,84.82,60.62
Methil,Scotland,December,12,43.76,19.71,2.64,83.91,72.05
Montrose,Scotland,January,1,38.21,22.86,2.34,86.63,74.73
Montrose,Scotland,February,2,41.15,22.29,1.8,84.65,63.13
Montrose,Scotland,March,3,42.17,20.82,2.77,87.25,79.4
Montrose,Scotland,April,4,44.44,21.71,4.18,82.68,79.22
Montrose,Scotland,May,5,52.72,14.1,1.97,90.45,83.82
Montrose,Scotland,June,6,53.71,17.99,1.52,78.6,78.75
Montrose,Scotland,July,7,56.33,15.0,2.48,83.11,81.48
Montrose,Scotland,August,8,57.33,20.36,2.54,79.13,68.79
Montrose,Scotland,September,9,52.06,15.32,1.37,84.02,72.09
Montrose,Scotland,October,10,49.56,20.48,2.76,85.92,72.72
Montrose,Scotland,November,11,42.78,17.05,0.89,84.5,69.41
Montrose,Scotland,December,12,42.56,22.11,2.86,85.36,79.42
Stonehaven,Scotland,January,1,38.22,22.98,2.42,86.64,73.21
Stonehaven,Scotland,February,2,40.94,21.83,1.89,84.31,60.69
Stonehaven,Scotland,March,3,42.4,21.12,2.61,86.61,79.15
Stonehaven,Scotland,April,4,44.12,22.41,4.34,83.37,78.18
Stonehaven,Scotland,May,5,52.55,14.23,1.86,90.61,83.39
Stonehaven,Scotland,June,6,53.29,18.42,1.59,80.03,77.89
Stonehaven,Scotland,July,7,55.75,15.43,2.62,85.0,80.89
Stonehaven,Scotland,August,8,56.96,20.73,2.63,80.58,66.48
Stonehaven,Scotland,September,9,51.67,16.22,1.49,84.95,72.47
Stonehaven,Scotland,October,10,50.19,21.47,2.83,85.42,71.07
Stonehaven,Scotland,November,11,44.79,18.52,0.95,83.78,71.76
Stonehaven,Scotland,December,12,43.78,22.41,3.14,84.18,79.12
Cullen,Scotland,January,1,38.35,18.91,1.9,84.62,64.53
Cullen,Scotland,February,2,40.93,17.82,2.5,81.63,55.92
Cullen,Scotland,March,3,42.81,16.65,2.3,80.93,72.0
Cullen,Scotland,April,4,45.89,18.82,2.8,76.91,72.05
Cullen,Scotland,May,5,55.09,13.8,1.79,81.85,70.61
Cullen,Scotland,June,6,54.61,16.96,2.18,74.56,75.68
Cullen,Scotland,July,7,57.1,14.57,2.63,78.54,76.66
Cullen,Scotland,August,8,58.44,19.09,1.52,72.0,64.6
Cullen,Scotland,September,9,52.63,14.48,2.73,82.05,71.15
Cullen,Scotland,October,10,50.38,18.0,1.78,79.51,64.06
Cullen,Scotland,November,11,43.87,16.36,2.23,82.26,57.2
Cullen,Scotland,December,12,42.99,19.61,5.49,83.89,71.24
Portsoy,Scotland,January,1,38.56,18.63,2.12,84.59,63.28
Portsoy,Scotland,February,2,40.86,17.22,2.5,81.61,54.79
Portsoy,Scotland,March,3,42.76,16.19,2.33,81.26,72.55
Portsoy,Scotland,April,4,45.78,18.29,2.88,77.14,71.61
Portsoy,Scotland,May,5,55.0,13.29,1.81,82.19,70.75
Portsoy,Scotland,June,6,54.61,16.44,2.08,74.59,74.37
Portsoy,Scotland,July,7,57.09,14.17,2.65,78.71,76.0
Portsoy,Scotland,August,8,58.38,18.59,1.56,72.4,63.37
Portsoy,Scotland,September,9,52.56,14.0,2.57,82.34,70.55
Portsoy,Scotland,October,10,50.28,17.55,1.86,79.96,63.2
Portsoy,Scotland,November,11,43.75,15.97,2.18,82.54,56.98
