course_name,city,state_country,location,total_par,h01_par,h01_yards,h01_hcp,h02_par,h02_yards,h02_hcp,h03_par,h03_yards,h03_hcp,h04_par,h04_yards,h04_hcp,h05_par,h05_yards,h05_hcp,h06_par,h06_yards,h06_hcp,h07_par,h07_yards,h07_hcp,h08_par,h08_yards,h08_hcp,h09_par,h09_yards,h09_hcp,f9_par,f9_yards,h10_par,h10_yards,h10_hcp,h11_par,h11_yards,h11_hcp,h12_par,h12_yards,h12_hcp,h13_par,h13_yards,h13_hcp,h14_par,h14_yards,h14_hcp,h15_par,h15_yards,h15_hcp,h16_par,h16_yards,h16_hcp,h17_par,h17_yards,h17_hcp,h18_par,h18_yards,h18_hcp,b9_par,b9_yards,total_yardage,course_rating,slope_rating,prestige_level,est_year,created_at,elevation,course_id,temp_factor,humidity_factor,wind_factor,rain_factor,cloud_factor,design_strategy,narrowness_factor,hazard_density,green_speed,turf_firmness,rough_length,crowd_factor,elevation_factor,terrain_difficulty,temp_min_jan,temp_avg_jan,temp_max_jan,temp_min_feb,temp_avg_feb,temp_max_feb,temp_min_mar,temp_avg_mar,temp_max_mar,temp_min_apr,temp_avg_apr,temp_max_apr,temp_min_may,temp_avg_may,temp_max_may,temp_min_jun,temp_avg_jun,temp_max_jun,temp_min_jul,temp_avg_jul,temp_max_jul,temp_min_aug,temp_avg_aug,temp_max_aug,temp_min_sep,temp_avg_sep,temp_max_sep,temp_min_oct,temp_avg_oct,temp_max_oct,temp_min_nov,temp_avg_nov,temp_max_nov,temp_min_dec,temp_avg_dec,temp_max_dec,rain_prop_jan,rain_prop_feb,rain_prop_mar,rain_prop_apr,rain_prop_may,rain_prop_jun,rain_prop_jul,rain_prop_aug,rain_prop_sep,rain_prop_oct,rain_prop_nov,rain_prop_dec,wind_speed_min_jan,wind_speed_avg_jan,wind_speed_max_jan,wind_speed_min_feb,wind_speed_avg_feb,wind_speed_max_feb,wind_speed_min_mar,wind_speed_avg_mar,wind_speed_max_mar,wind_speed_min_apr,wind_speed_avg_apr,wind_speed_max_apr,wind_speed_min_may,wind_speed_avg_may,wind_speed_max_may,wind_speed_min_jun,wind_speed_avg_jun,wind_speed_max_jun,wind_speed_min_jul,wind_speed_avg_jul,wind_speed_max_jul,wind_speed_min_aug,wind_speed_avg_aug,wind_speed_max_aug,wind_speed_min_sep,wind_speed_avg_sep,wind_speed_max_sep,wind_speed_min_oct,wind_speed_avg_oct,wind_speed_max_oct,wind_speed_min_nov,wind_speed_avg_nov,wind_speed_max_nov,wind_speed_min_dec,wind_speed_avg_dec,wind_speed_max_dec,humidity_min_jan,humidiy_avg_jan,humidity_max_jan,humidity_min_feb,humidiy_avg_feb,humidity_max_feb,humidity_min_mar,humidiy_avg_mar,humidity_max_mar,humidity_min_apr,humidiy_avg_apr,humidity_max_apr,humidity_min_may,humidiy_avg_may,humidity_max_may,humidity_min_jun,humidiy_avg_jun,humidity_max_jun,humidity_min_jul,humidiy_avg_jul,humidity_max_jul,humidity_min_aug,humidiy_avg_aug,humidity_max_aug,humidity_min_sep,humidiy_avg_sep,humidity_max_sep,humidity_min_oct,humidiy_avg_oct,humidity_max_oct,humidity_min_nov,humidiy_avg_nov,humidity_max_nov,humidity_min_dec,humidiy_avg_dec,humidity_max_dec,cloud_cover_min_jan,cloud_cover_avg_jan,cloud_cover_max_jan,cloud_cover_min_feb,cloud_cover_avg_feb,cloud_cover_max_feb,cloud_cover_min_mar,cloud_cover_avg_mar,cloud_cover_max_mar,cloud_cover_min_apr,cloud_cover_avg_apr,cloud_cover_max_apr,cloud_cover_min_may,cloud_cover_avg_may,cloud_cover_max_may,cloud_cover_min_jun,cloud_cover_avg_jun,cloud_cover_max_jun,cloud_cover_min_jul,cloud_cover_avg_jul,cloud_cover_max_jul,cloud_cover_min_aug,cloud_cover_avg_aug,cloud_cover_max_aug,cloud_cover_min_sep,cloud_cover_avg_sep,cloud_cover_max_sep,cloud_cover_min_oct,cloud_cover_avg_oct,cloud_cover_max_oct,cloud_cover_min_nov,cloud_cover_avg_nov,cloud_cover_max_nov,cloud_cover_min_dec,cloud_cover_avg_dec,cloud_cover_max_dec
Leawood Golf & Country Club,Leawood,KS (US),"Leawood, KS (US)",71,4,364,6,5,662,10,4,491,16,3,151,12,4,487,14,3,132,2,4,368,4,5,653,8,4,471,18,36,3779,4,463,7,3,229,1,4,463,9,4,422,3,4,501,13,3,175,11,4,422,15,5,590,17,4,363,5,35,3628,7407,74.3750251082251,131.246984199134,0.6,1986,###,846.456692913386,###,0.443958333333333,0.878571428571429,0.3,0.498181818181818,0.517,0.77,0.52,0.22,0.41,0.58,0.33,0.56,0.04,0.7,30.4,40.4,50.4,36.2,46.2,56.2,42,52,62,47.8,57.8,67.8,53.5,63.5,73.5,59.3,69.3,79.3,65.1,75.1,85.1,59.3,69.3,79.3,53.5,63.5,73.5,47.8,57.8,67.8,42,52,62,36.2,46.2,56.2,0.2268,0.2592,0.2916,0.324,0.3564,0.3888,0.4212,0.3888,0.3564,0.324,0.2916,0.2592,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617
Flower Mound Golf & Country Club,Flower Mound,TX (US),"Flower Mound, TX (US)",71,4,489,4,3,135,8,4,430,14,4,341,10,3,174,12,4,349,2,4,498,6,5,552,16,4,449,18,35,3417,4,477,5,4,410,7,5,524,1,3,210,11,4,407,9,4,453,13,4,438,15,3,184,3,5,630,17,36,3733,7150,75.8066285714286,135.922428571429,0.53,1937,###,45.9317585301837,###,0.55,0.742857142857143,0.266666666666667,0.4,0.45,0.44,0.75,0.63,0.49,0.84,0.5,0.78,0.52,0.63,33.4,43.4,53.4,39.6,49.6,59.6,45.8,55.8,65.8,52,62,72,58.2,68.2,78.2,64.4,74.4,84.4,70.6,80.6,90.6,64.4,74.4,84.4,58.2,68.2,78.2,52,62,72,45.8,55.8,65.8,39.6,49.6,59.6,0.189,0.216,0.243,0.27,0.297,0.324,0.351,0.324,0.297,0.27,0.243,0.216,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,52,62,72,52,62,72,52,62,72,52,62,72,52,62,72,52,62,72,52,62,72,52,62,72,52,62,72,52,62,72,52,62,72,52,62,72,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55
Sandia Heights Golf Club,Sandia Heights,NM (US),"Sandia Heights, NM (US)",70,5,546,3,4,465,5,4,372,9,4,341,7,3,159,17,4,443,11,4,402,13,3,150,1,4,384,15,35,3262,4,364,2,4,473,6,4,460,12,4,430,18,3,238,8,4,351,10,4,467,4,3,200,14,5,517,16,35,3500,6762,74.4915887445887,131.592293290043,0.34,1913,###,2155.51181102362,###,0.168958333333333,0.468571428571428,0.326666666666667,0.309090909090909,0.385,0.37,0.65,0.38,0.79,0.75,0.27,0.33,0.13,0.86,22.7,32.7,42.7,27.4,37.4,47.4,32.1,42.1,52.1,36.8,46.8,56.8,41.4,51.4,61.4,46.1,56.1,66.1,50.8,60.8,70.8,46.1,56.1,66.1,41.4,51.4,61.4,36.8,46.8,56.8,32.1,42.1,52.1,27.4,37.4,47.4,0.154,0.176,0.198,0.22,0.242,0.264,0.286,0.264,0.242,0.22,0.198,0.176,7.9,9.9,14.9,7.9,9.9,14.9,7.9,9.9,14.9,7.9,9.9,14.9,7.9,9.9,14.9,7.9,9.9,14.9,7.9,9.9,14.9,7.9,9.9,14.9,7.9,9.9,14.9,7.9,9.9,14.9,7.9,9.9,14.9,7.9,9.9,14.9,32.8,42.8,52.8,32.8,42.8,52.8,32.8,42.8,52.8,32.8,42.8,52.8,32.8,42.8,52.8,32.8,42.8,52.8,32.8,42.8,52.8,32.8,42.8,52.8,32.8,42.8,52.8,32.8,42.8,52.8,32.8,42.8,52.8,32.8,42.8,52.8,0.285,0.385,0.485,0.285,0.385,0.485,0.285,0.385,0.485,0.285,0.385,0.485,0.285,0.385,0.485,0.285,0.385,0.485,0.285,0.385,0.485,0.285,0.385,0.485,0.285,0.385,0.485,0.285,0.385,0.485,0.285,0.385,0.485,0.285,0.385,0.485
Mililani Country Club,Mililani,HI (US),"Mililani, HI (US)",71,4,397,4,5,540,10,4,354,16,3,181,18,4,464,6,4,425,8,5,646,2,3,133,12,4,379,14,36,3519,4,492,1,3,150,3,4,353,7,3,175,17,5,534,5,4,389,15,3,231,9,5,643,11,4,488,13,35,3455,6974,75.3286458874459,134.3611504329,0.7,1907,###,1013.77952755906,###,0.593958333333333,0.874285714285715,0.253333333333333,0.609090909090909,0.495,0.74,0.54,0.48,0.65,0.91,0.47,0.53,0.81,0.45,34.6,44.6,54.6,41,51,61,47.4,57.4,67.4,53.8,63.8,73.8,60.1,70.1,80.1,66.5,76.5,86.5,72.9,82.9,92.9,66.5,76.5,86.5,60.1,70.1,80.1,53.8,63.8,73.8,47.4,57.4,67.4,41,51,61,0.2695,0.308,0.3465,0.385,0.4235,0.462,0.5005,0.462,0.4235,0.385,0.3465,0.308,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
Meridian Cricket Club,Meridian,ID (US),"Meridian, ID (US)",72,5,513,2,3,137,8,4,483,14,4,357,16,3,123,4,5,671,6,4,399,18,4,428,10,4,422,12,36,3533,5,669,1,4,362,17,5,510,5,4,451,15,4,337,3,3,210,13,4,338,7,3,219,9,4,481,11,36,3577,7110,76.0939696969697,137.169174242424,0.74,1955,###,823.490813648294,###,0.351041666666667,0.8,0.146666666666667,0.409090909090909,0.495,0.54,0.72,0.5,0.52,0.91,0.88,0.85,0.02,0.26,27.8,37.8,47.8,33.2,43.2,53.2,38.6,48.6,58.6,44,54,64,49.5,59.5,69.5,54.9,64.9,74.9,60.3,70.3,80.3,54.9,64.9,74.9,49.5,59.5,69.5,44,54,64,38.6,48.6,58.6,33.2,43.2,53.2,0.1925,0.22,0.2475,0.275,0.3025,0.33,0.3575,0.33,0.3025,0.275,0.2475,0.22,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
Southpointe Golf Club,Southpointe,ND (US),"Southpointe, ND (US)",70,4,440,6,4,444,12,3,172,14,4,361,2,5,639,4,3,174,16,4,371,8,4,383,18,4,353,10,35,3337,4,386,15,3,132,3,4,393,13,4,417,1,3,122,11,4,423,5,5,580,7,4,386,17,4,475,9,35,3314,6651,74.8561696969697,133.025174242424,0.73,1983,###,4514.43569553806,###,0.293541666666667,0.8,0.266666666666667,0.409090909090909,0.495,0.38,0.51,0.52,0.83,0.41,0.75,0.38,0.29,0.28,26.2,36.2,46.2,31.4,41.4,51.4,36.6,46.6,56.6,41.7,51.7,61.7,46.9,56.9,66.9,52.1,62.1,72.1,57.3,67.3,77.3,52.1,62.1,72.1,46.9,56.9,66.9,41.7,51.7,61.7,36.6,46.6,56.6,31.4,41.4,51.4,0.1925,0.22,0.2475,0.275,0.3025,0.33,0.3575,0.33,0.3025,0.275,0.2475,0.22,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,7,9,14,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,56,66,76,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
Mequon Golf & Country Club,Mequon,WI (US),"Mequon, WI (US)",70,4,332,13,4,440,17,3,192,1,4,392,11,4,446,9,4,474,3,3,146,5,5,658,15,4,365,7,35,3445,4,466,4,5,595,10,3,197,12,4,488,2,4,467,14,4,445,18,3,202,6,4,373,16,4,395,8,35,3628,7073,74.3867411255411,131.518745670996,0.31,1912,###,1811.02362204724,###,0.293541666666667,0.957142857142857,0.146666666666667,0.549090909090909,0.605,0.36,0.52,0.54,0.97,0.51,0.42,0.36,0.97,0.19,26.2,36.2,46.2,31.4,41.4,51.4,36.6,46.6,56.6,41.7,51.7,61.7,46.9,56.9,66.9,52.1,62.1,72.1,57.3,67.3,77.3,52.1,62.1,72.1,46.9,56.9,66.9,41.7,51.7,61.7,36.6,46.6,56.6,31.4,41.4,51.4,0.2464,0.2816,0.3168,0.352,0.3872,0.4224,0.4576,0.4224,0.3872,0.352,0.3168,0.2816,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,5.2,7.2,12.2,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,67,77,87,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
Conrad Cricket Club,Conrad,MT (US),"Conrad, MT (US)",71,4,461,11,4,394,15,4,497,9,3,135,7,5,675,1,4,380,3,5,509,17,3,142,13,4,402,5,36,3595,4,379,2,4,497,8,5,524,10,4,341,12,4,491,16,3,148,4,4,359,18,3,180,14,4,489,6,35,3408,7003,74.2010506493506,130.898805194805,0.38,1923,###,652.887139107612,###,0,0.671428571428571,0.4,0.409090909090909,0.495,0.51,0.4,0.23,1,0.85,0.5,0.2,0.01,0.9,16.8,26.8,36.8,20.6,30.6,40.6,24.4,34.4,44.4,28.2,38.2,48.2,32.1,42.1,52.1,35.9,45.9,55.9,39.7,49.7,59.7,35.9,45.9,55.9,32.1,42.1,52.1,28.2,38.2,48.2,24.4,34.4,44.4,20.6,30.6,40.6,0.1925,0.22,0.2475,0.275,0.3025,0.33,0.3575,0.33,0.3025,0.275,0.2475,0.22,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
Papillion Country Club,Papillion,NE (US),"Papillion, NE (US)",70,5,582,9,3,203,13,4,483,17,3,144,7,4,465,5,4,366,1,3,177,15,4,479,11,5,557,3,35,3456,4,447,18,4,501,6,3,202,8,4,372,10,4,478,14,5,584,2,4,343,16,3,179,12,4,387,4,35,3493,6949,75.3276584415585,134.270067532468,0.25,1936,###,419.94750656168,###,0.3125,0.878571428571429,0.3,0.498181818181818,0.517,0.53,0.34,0.36,0.54,0.69,0.35,0.59,0.35,0.78,26.8,36.8,46.8,32,42,52,37.2,47.2,57.2,42.5,52.5,62.5,47.8,57.8,67.8,53,63,73,58.2,68.2,78.2,53,63,73,47.8,57.8,67.8,42.5,52.5,62.5,37.2,47.2,57.2,32,42,52,0.2268,0.2592,0.2916,0.324,0.3564,0.3888,0.4212,0.3888,0.3564,0.324,0.2916,0.2592,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,7.5,9.5,14.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,61.5,71.5,81.5,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617,0.417,0.517,0.617
TCC Fairway,Fairway,KS (US),"Fairway, KS (US)",71,4,415,7,3,204,11,4,361,17,4,390,15,3,128,5,5,511,3,4,365,13,5,551,9,4,489,1,36,3414,5,669,16,3,225,4,4,397,6,4,429,8,5,655,18,3,247,12,4,503,14,3,202,10,4,450,2,35,3777,7191,75.456503030303,134.997007575758,0.88,1951,###,790.682414698163,###,0.168958333333333,0.74,0.4,0.449090909090909,0.495,0.57,0.75,0.47,0.94,0.82,0.41,0.89,0.47,0.32,22.7,32.7,42.7,27.4,37.4,47.4,32.1,42.1,52.1,36.8,46.8,56.8,41.4,51.4,61.4,46.1,56.1,66.1,50.8,60.8,70.8,46.1,56.1,66.1,41.4,51.4,61.4,36.8,46.8,56.8,32.1,42.1,52.1,27.4,37.4,47.4,0.2079,0.2376,0.2673,0.297,0.3267,0.3564,0.3861,0.3564,0.3267,0.297,0.2673,0.2376,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,9,11,16,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,51.8,61.8,71.8,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
Ormond Beach Country Club,Ormond Beach,FL (US),"Ormond Beach, FL (US)",71,5,577,14,4,383,18,5,609,2,3,234,4,4,397,6,3,150,16,4,414,10,4,459,12,4,435,8,36,3658,4,364,17,4,358,5,4,494,9,3,184,15,4,371,13,4,354,3,3,172,1,5,538,11,4,349,7,35,3184,6842,76.0373982683982,136.673102813853,0.21,1966,###,108.267716535433,###,0.487291666666667,0.942857142857143,0.106666666666667,0.709090909090909,0.605,0.31,0.48,0.2,0.96,0.69,0.73,0.78,0.93,0.47,31.6,41.6,51.6,37.6,47.6,57.6,43.5,53.5,63.5,49.5,59.5,69.5,55.5,65.5,75.5,61.4,71.4,81.4,67.3,77.3,87.3,61.4,71.4,81.4,55.5,65.5,75.5,49.5,59.5,69.5,43.5,53.5,63.5,37.6,47.6,57.6,0.308,0.352,0.396,0.44,0.484,0.528,0.572,0.528,0.484,0.44,0.396,0.352,4.6,6.6,11.6,4.6,6.6,11.6,4.6,6.6,11.6,4.6,6.6,11.6,4.6,6.6,11.6,4.6,6.6,11.6,4.6,6.6,11.6,4.6,6.6,11.6,4.6,6.6,11.6,4.6,6.6,11.6,4.6,6.6,11.6,4.6,6.6,11.6,66,76,86,66,76,86,66,76,86,66,76,86,66,76,86,66,76,86,66,76,86,66,76,86,66,76,86,66,76,86,66,76,86,66,76,86,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
Woodbridge Cricket Club,Woodbridge,CT (US),"Woodbridge, CT (US)",71,5,506,15,3,131,3,4,458,7,3,208,13,5,627,11,4,385,17,4,374,1,4,435,9,4,406,5,36,3530,4,424,12,4,398,16,5,676,2,3,149,4,4,421,14,4,332,18,4,411,8,3,150,10,4,446,6,35,3407,6937,75.4729805194805,134.696844155844,0.98,1972,###,13.1233595800525,###,0.3125,0.757142857142857,0.306666666666667,0.447272727272727,0.495,0.7,0.76,0.6,0.7,0.65,0.48,0.25,0.07,0.53,26.8,36.8,46.8,32,42,52,37.2,47.2,57.2,42.5,52.5,62.5,47.8,57.8,67.8,53,63,73,58.2,68.2,78.2,53,63,73,47.8,57.8,67.8,42.5,52.5,62.5,37.2,47.2,57.2,32,42,52,0.2072,0.2368,0.2664,0.296,0.3256,0.3552,0.3848,0.3552,0.3256,0.296,0.2664,0.2368,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,7.6,9.6,14.6,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,53,63,73,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595,0.395,0.495,0.595
McLean Cricket Club,McLean,VA (US),"McLean, VA (US)",70,4,408,13,4,367,1,3,197,5,4,468,11,5,666,9,4,339,17,4,354,15,3,208,7,4,456,3,35,3463,4,477,10,5,673,14,4,382,18,4,395,2,4,382,12,3,150,16,4,405,6,3,138,8,4,497,4,35,3499,6962,75.0576458874459,133.9331504329,0.52,1978,###,137.795275590551,###,0.168958333333333,0.874285714285715,0.253333333333333,0.649090909090909,0.605,0.21,0.3,0.68,0.51,0.34,0.86,0.91,0.43,0.58,22.7,32.7,42.7,27.4,37.4,47.4,32.1,42.1,52.1,36.8,46.8,56.8,41.4,51.4,61.4,46.1,56.1,66.1,50.8,60.8,70.8,46.1,56.1,66.1,41.4,51.4,61.4,36.8,46.8,56.8,32.1,42.1,52.1,27.4,37.4,47.4,0.2849,0.3256,0.3663,0.407,0.4477,0.4884,0.5291,0.4884,0.4477,0.407,0.3663,0.3256,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,6.8,8.8,13.8,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,61.2,71.2,81.2,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705,0.505,0.605,0.705
Folsom National Golf Club,Folsom,CA (US),"Folsom, CA (US)",71,4,369,11,4,358,3,4,476,9,5,504,7,3,214,15,4,390,13,3,153,5,4,455,17,5,585,1,36,3504,4,484,8,4,478,12,3,150,16,4,445,10,4,447,18,3,152,14,4,380,4,4,449,6,5,564,2,35,3549,7053,74.5655506493507,132.132805194805,0.63,1945,###,291.994750656168,###,0.5,0.671428571428571,0.133333333333333,0.309090909090909,0.45,0.34,0.33,0.81,0.82,0.5,0.32,0.74,0.81,0.35,32,42,52,38,48,58,44,54,64,50,60,70,56,66,76,62,72,82,68,78,88,62,72,82,56,66,76,50,60,70,44,54,64,38,48,58,0.154,0.176,0.198,0.22,0.242,0.264,0.286,0.264,0.242,0.22,0.198,0.176,5,7,12,5,7,12,5,7,12,5,7,12,5,7,12,5,7,12,5,7,12,5,7,12,5,7,12,5,7,12,5,7,12,5,7,12,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,47,57,67,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55,0.35,0.45,0.55
